listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#speaker,#speaker,narration,unrelated,#dtz-01
#speaker,#speaker,narration,unrelated,#dtz-02
#speaker,#speaker,narration,unrelated,#dtz-03
#speaker,#speaker,variantRep,unrelated,#dtz-04
#speaker,#speaker,narration,unrelated,#dtz-05
#speaker,#speaker,narration,unrelated,#dtz-06
#speaker,#speaker,narration,unrelated,#dtz-07
#speaker,#speaker,narration,unrelated,#dtz-08
#speaker,#speaker,narration,unrelated,#dtz-09
#speaker,#POFT,narration,unrelated,#dtz-08
#speaker,#POFT,narration,unrelated,#dtz-09
#speaker,#POFT,pershift,unrelated,#dtz-10
#speaker,#POFT,variantRep,unrelated,#dtz-11
#speaker,#POFT,narration,unrelated,#dtz-12
#speaker,#POFT,narration,unrelated,#dtz-13
#speaker,#POFT,narration,unrelated,#dtz-14
#speaker,#POFT,narration,unrelated,#dtz-15
#speaker,#POFT,narration,unrelated,#dtz-16
#speaker,#POFT,narration,unrelated,#dtz-17
#speaker,#POFT,variantRep,unrelated,#dtz-18
#speaker,#POFT,repetition,unrelated,#dtz-19
#speaker,#POFT,repetition,unrelated,#dtz-20
#speaker,#POFT,repetition,unrelated,#dtz-21
#speaker,#POFT,repetition,unrelated,#dtz-22
