listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#POFT,#speaker,request,unrelated,#gol-01
#POFT,#speaker,narration,corraborated,#gol-02
#POFT,#speaker,narration,unrelated,#gol-03
#performer,#audience,performerInsert,unrelated,#gol-04
#performer,#audience,performerInsert,unrelated,#gol-05
#speaker,#POFT,persShift,unrelated,#gol-06
#speaker,#POFT,narration,discrepancy,#gol-07
#speaker,#POFT,narration,unrelated,#gol-08
#performer,#audience,performerInsert,unrelated,#gol-09
#performer,#audience,performerInsert,unrelated,#gol-10
#performer,#audience,performerInsert,unrelated,#gol-11
#performer,#audience,performerInsert,unrelated,#gol-12
#performer,#audience,performerInsert,unrelated,#gol-13
#performer,#audience,performerInsert,unrelated,#gol-14
#performer,#audience,performerInsert,unrelated,#gol-15
#performer,#audience,performerInsert,unrelated,#gol-16
#narrator,#listener,persShift,unrelated,#gol-17
#narrator,#listener,narration,unrelated,#gol-18
#performer,#audience,performerInsert,unrelated,#gol-19
#narrator,#listener,repetition,unrelated,#gol-20
#narrator,#listener,narration,unrelated,#gol-21
#performer,#audience,performerInsert,unrelated,#gol-22
#performer,#audience,performerInsert,unrelated,#gol-23
#performer,#audience,performerInsert,unrelated,#gol-24
#performer,#audience,performerInsert,unrelated,#gol-25
#speaker,#POFT,persShift,unrelated,#gol-26
#speaker,#POFT,narration,unrelated,#gol-27
#performer,#audience,performerInsert,unrelated,#gol-28
#performer,#audience,performerInsert,unrelated,#gol-29
#performer,#audience,performerInsert,unrelated,#gol-30
#performer,#audience,performerInsert,unrelated,#gol-31
#narrator,#listener,persShift,unrelated,#gol-32
#narrator,#listener,narration,unrelated,#gol-33
#narrator,#listener,narration,unrelated,#gol-34
#performer,#audience,performerInsert,unrelated,#gol-35
#speaker,#POFT,persShift,unrelated,#gol-36
#speaker,#POFT,narration,unrelated,#gol-37
#performer,#audience,performerInsert,unrelated,#gol-38
#speaker,#POFT,narration,unrelated,#gol-39
