listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#speaker,#listener,narration,unrelated,#say-01
#speaker,#listener,narration,unrelated,#say-02
#speaker,#listener,narration,unrelated,#say-03
#speaker,#listener,narration,unrelated,#say-04
#speaker,#listener,narration,unrelated,#say-05
#performer,#audience,performerInsert,unrelated,#say-06
#speaker,#listener,narration,unrelated,#say-07
#speaker,#listener,narration,unrelated,#say-08
#speaker,#listener,narration,unrelated,#say-09
#speaker,#listener,narration,unrelated,#say-10
#speaker,#listener,narration,unrelated,#say-11
#speaker,#listener,repetition,unrelated,#say-12
#speaker,#listener,narration,unrelated,#say-13
#speaker,#listener,narration,unrelated,#say-14
#speaker,#listener,narration,unrelated,#say-15
#speaker,#listener,narration,unrelated,#say-16
#performer,#audience,performerInsert,unrelated,#say-17
#speaker,#listener,repetition,unrelated,#say-18
#performer,#audience,performerInsert,unrelated,#say-19
#speaker,#listener,narration,unrelated,#say-20
#speaker,#listener,narration,unrelated,#say-21
#speaker,#listener,narration,unrelated,#say-22
#speaker,#listener,narration,unrelated,#say-23
#speaker,#listener,narration,unrelated,#say-24
#speaker,#listener,narration,unrelated,#say-25
#speaker,#listener,narration,unrelated,#say-26
#speaker,#listener,request,unrelated,#say-27
#performer,#audience,performerInsert,unrelated,#say-28
#speaker,#listener,narration,unrelated,#say-29
#speaker,#listener,narration,unrelated,#say-30
#speaker,#listener,narration,unrelated,#say-31
#speaker,#listener,narration,unrelated,#say-32
