listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#narrator,#listener,narration,unrelated,#stf-01
#narrator,#listener,narration,unrelated,#stf-02
#narrator,#listener,narration,unrelated,#stf-03
#narrator,#listener,narration,unrelated,#stf-04
#narrator,#listener,narration,unrelated,#stf-05
#narrator,#listener,variantRep,unrelated,#stf-06
#narrator,#listener,narration,unrelated,#stf-07
#speaker,#listener,persShift,unrelated,#stf-08
#narrator,#listener,narration,unrelated,#stf-09
#narrator,#listener,persShift,unrelated,#stf-10
#narrator,#listener,variantRep,unrelated,#stf-11
#narrator,#listener,narration,unrelated,#stf-12
#narrator,#listener,narration,unrelated,#stf-13
#narrator,#listener,variantRep,unrelated,#stf-14
#narrator,#listener,narration,unrelated,#stf-15
#narrator,#listener,narration,unrelated,#stf-16
#narrator,#listener,narration,unrelated,#stf-17
#narrator,#listener,narration,discrepancy,#stf-18
#narrator,#listener,narration,corraborate,#stf-19
#narrator,#listener,variantRep,unrelated,#stf-20
#narrator,#listener,narration,unrelated,#stf-21
#narrator,#listener,narration,unrelated,#stf-22
#narrator,#listener,narration,unrelated,#stf-23
#narrator,#listener,uncertain,unrelated,#stf-24
#narrator,#listener,uncertain,unrelated,#stf-25
#narrator,#listener,variantRep,unrelated,#stf-26
#speaker,#listener,persShift,unrelated,#stf-27
#speaker,#listener,narration,unrelated,#stf-28
#speaker,#listener,narration,unrelated,#stf-29
#speaker,#listener,narration,unrelated,#stf-30
#speaker,#listener,narration,unrelated,#stf-31
#speaker,#listener,variantRep,unrelated,#stf-32
