listRelation - relation - active,listRelation - relation - passive,listRelation - relation - type,listRelation - relation - subtype,listRelation - relation - ref
#speaker,#listener,narration,unrelated,#www-01
#speaker,#listener,narration,unrelated,#www-02
#speaker,#listener,narration,unrelated,#www-03
#speaker,#listener,narration,unrelated,#www-04
#speaker,#listener,narration,unrelated,#www-05
#speaker,#listener,narration,unrelated,#www-06
#speaker,#listener,narration,unrelated,#www-07
#speaker,#listener,narration,unrelated,#www-08
#speaker,#listener,narration,unrelated,#www-09
#speaker,#listener,narration,unrelated,#www-10
#speaker,#listener,narration,unrelated,#www-11
#speaker,#listener,narration,unrelated,#www-12
#speaker,#listener,narration,unrelated,#www-13
#speaker,#listener,uncertain,unrelated,#www-14
#speaker,#listener,narration,discrepancy,#www-15
#speaker,#listener,narration,unrelated,#www-16
#speaker,#listener,narration,unrelated,#www-17
#speaker,#listener,uncertain,unrelated,#www-18
#speaker,#listener,narration,unrelated,#www-19
#speaker,#listener,repetition,unrelated,#www-20
#speaker,#listener,narration,unrelated,#www-21
#speaker,#listener,uncertain,unrelated,#www-22
#speaker,#listener,repetition,unrelated,#www-23
